Data,Iprec
42.38,0.2
42.42,0
42.46,0
42.5,0.2
42.54,0
42.58,0
42.63,0
42.67,0
42.71,0
42.75,0
42.79,1.2
42.83,1.2
42.88,0.2
42.92,0.2
42.96,0.2
43,0
43.04,0
43.08,0
43.13,0
43.17,0
43.21,0
43.25,0
43.29,0
43.33,0
43.38,0
43.42,0
43.46,0
43.5,0
43.54,0
43.58,0
43.63,0
43.67,0
43.71,0
43.75,0
43.79,0
43.83,0
43.88,0
43.92,0
43.96,0
44,0
44.04,0
44.08,0.2
44.13,2
44.17,1.6
44.21,0.6
44.25,0.2
44.29,0.8
44.33,0.2
44.38,0
44.42,0
44.46,0
44.5,0
44.54,0
44.58,1.6
44.63,0.4
44.67,0.4
44.71,1.8
44.75,0.4
44.79,0.4
44.83,1.4
44.88,0.6
44.92,0
44.96,0
45,0
45.04,0
45.08,0
45.13,0.2
45.17,0
45.21,0
45.25,1.2
45.29,0.2
45.33,0
45.38,0.2
45.42,0
45.46,0
45.5,0
45.54,0.2
45.58,0
45.63,0
45.67,0.4
45.71,1
45.75,2.4
45.79,3.2
45.83,3.4
45.88,1
45.92,1.8
45.96,0
46,0
46.04,0
46.08,0
46.13,0
46.17,0.4
46.21,0.8
46.25,0
46.29,0.4
46.33,0
46.38,0
46.42,0.2
46.46,1.2
46.5,0
46.54,0.6
46.58,0.6
46.63,0.4
46.67,0
46.71,0.6
46.75,0.4
46.79,0.2
46.83,0
46.88,0
46.92,0.8
46.96,0.4
47,0.4
47.04,0.4
47.08,0
47.13,0
47.17,0
47.21,0.2
47.25,0.2
47.29,1
47.33,0.2
47.38,0.6
47.42,0.4
47.46,0.2
47.5,0.8
47.54,1.4
47.58,0.6
47.63,0.8
47.67,0.4
47.71,0
47.75,0.4
47.79,0.2
47.83,0
47.88,0.2
47.92,1.2
47.96,0.2
48,0
48.04,0
48.08,0
48.13,0
48.17,0
48.21,0
48.25,0
48.29,0
48.33,1.4
48.38,1
48.42,0.2
48.46,0.6
48.5,0
48.54,0.6
48.58,0
48.63,0
48.67,0
48.71,0
48.75,0
48.79,0
48.83,0
48.88,0
48.92,0
48.96,0
49,0
49.04,0
49.08,0
49.13,0
49.17,0
49.21,0
49.25,0
49.29,0
49.33,0
49.38,0
49.42,0
49.46,0
49.5,0
49.54,0
49.58,0
49.63,0
49.67,0
49.71,0
49.75,0
49.79,0
49.83,0
49.88,0
49.92,0
49.96,0
50,0
50.04,0
50.08,0
50.13,0
50.17,0
50.21,0
50.25,0
50.29,0
50.33,0
50.38,0
50.42,0
50.46,0
50.5,0
50.54,0
50.58,0
50.63,0
50.67,0
50.71,0
50.75,0
50.79,0
50.83,0
50.88,0
50.92,0
50.96,0
51,0
51.04,0
51.08,0
51.13,0
51.17,0
51.21,0
51.25,0
51.29,0
51.33,0
51.38,0
51.42,0
51.46,0
51.5,0
51.54,0
51.58,0
51.63,0
51.67,0
51.71,0
51.75,0
51.79,0
51.83,0
51.88,0
51.92,0
51.96,0
52,0
52.04,0
52.08,0
52.13,0
52.17,0
52.21,0
52.25,0
52.29,0
52.33,0
52.38,0
52.42,0
52.46,0
52.5,0
52.54,0
52.58,0
52.63,0
52.67,0
52.71,0
52.75,0
52.79,0
52.83,0
52.88,0
52.92,0
52.96,0
53,0
53.04,0
53.08,0
53.13,0
53.17,0
53.21,0
53.25,0
53.29,0
53.33,0
53.38,0
53.42,0
53.46,0
53.5,0
53.54,0
53.58,0
53.63,0
53.67,0
53.71,0
53.75,0
53.79,0
53.83,0
53.88,0
53.92,0
53.96,0
54,0
54.04,0
54.08,0.2
54.13,0
54.17,0
54.21,0
54.25,0
54.29,0
54.33,0
54.38,0
54.42,0
54.46,0
54.5,0
54.54,0
54.58,0
54.63,0
54.67,0
54.71,0
54.75,0
54.79,0
54.83,0.2
54.88,0
54.92,0
54.96,0.2
55,0.2
55.04,0
55.08,0
55.13,0
55.17,0
55.21,0.2
55.25,0.2
55.29,0
55.33,0
55.38,0
55.42,0
55.46,0
55.5,0
55.54,1.8
55.58,0
55.63,0.4
55.67,0
55.71,0
55.75,0
55.79,0
55.83,0
55.88,0
55.92,0
55.96,0
56,0
56.04,0
56.08,0
56.13,0
56.17,0
56.21,0
56.25,0
56.29,0
56.33,0
56.38,0
56.42,0
56.46,0
56.5,0
56.54,0
56.58,0
56.63,0
56.67,0
56.71,0
56.75,0
56.79,0
56.83,0
56.88,0
56.92,0
56.96,0
57,0.2
57.04,0
57.08,0.2
57.13,0
57.17,0
57.21,0
57.25,0
57.29,0
57.33,0
57.38,0
57.42,0
57.46,0
57.5,0
57.54,0
57.58,0
57.63,0
57.67,0
57.71,0
57.75,0
57.79,0
57.83,0
57.88,0
57.92,0
57.96,0
58,0
58.04,0
58.08,0
58.13,0
58.17,0
58.21,0
58.25,0
58.29,0
58.33,0
58.38,0
58.42,0
58.46,0
58.5,0
58.54,0
58.58,0
58.63,0
58.67,0
58.71,0
58.75,0
58.79,0
58.83,0
58.88,0
58.92,0
58.96,0
59,0.2
59.04,0.2
59.08,0
59.13,0
59.17,0
59.21,0
59.25,0
59.29,0
59.33,0
59.38,0
59.42,0
59.46,0
59.5,0
59.54,0
59.58,0
59.63,0
59.67,0
59.71,0
59.75,0
59.79,0
59.83,0
59.88,0
59.92,0
59.96,0
60,0
60.04,0
60.08,0
60.13,0
60.17,0
60.21,0
60.25,0
60.29,0
60.33,0
60.38,0
60.42,0
60.46,0.2
60.5,0
60.54,0
60.58,0
60.63,0
60.67,0
60.71,0
60.75,0
60.79,0
60.83,0
60.88,0
60.92,0
60.96,0
61,0
61.04,0
61.08,0
61.13,0
61.17,0
61.21,0
61.25,0
61.29,0
61.33,0
61.38,0
61.42,0
61.46,0
61.5,0
61.54,0
61.58,0
61.63,0
61.67,0
61.71,0
61.75,0
61.79,0
61.83,0
61.88,0
61.92,0
61.96,0
62,0
62.04,0
62.08,0
62.13,0
62.17,0
62.21,0
62.25,0
62.29,0
62.33,0
62.38,0
62.42,0
62.46,0
62.5,0
62.54,0
62.58,0
62.63,0
62.67,0
62.71,0
62.75,0
62.79,0
62.83,0
62.88,0
62.92,0
62.96,0
63,0
63.04,0
63.08,0
63.13,0
63.17,0
63.21,0
63.25,0
63.29,0
63.33,0
63.38,0
63.42,0
63.46,0
63.5,0
63.54,0
63.58,0
63.63,0
63.67,0
63.71,0
63.75,0
63.79,0
63.83,0
63.88,0
63.92,0
