DATE[day/month/year hour:min],t[days],JDfrom0,JD,50 ,175 ,475 ,950  
2/1/2002  0:00,0.000000,731218.000000,1.000000,0.000000,0.000000,0.001705,0.000000 
2/1/2002  2:00,0.083333,731218.083333,1.083333,0.000000,0.000000,0.001705,0.000000 
2/1/2002  4:00,0.166667,731218.166667,1.166667,0.000000,0.000000,0.001705,0.000000 
2/1/2002  6:00,0.250000,731218.250000,1.250000,0.000000,0.000000,0.001705,0.000000 
2/1/2002  8:00,0.333333,731218.333333,1.333333,0.000000,0.000000,0.001705,0.000000 
2/1/2002 10:00,0.416667,731218.416667,1.416667,0.000000,0.000000,0.001705,0.000000 
2/1/2002 12:00,0.500000,731218.500000,1.500000,0.000000,0.000000,0.001705,0.000000 
2/1/2002 14:00,0.583333,731218.583333,1.583333,0.000000,0.000000,0.001705,0.000000 
2/1/2002 16:00,0.666667,731218.666667,1.666667,0.000000,0.000000,0.001705,0.000000 
2/1/2002 18:00,0.750000,731218.750000,1.750000,0.000000,0.000000,0.001705,0.000000 
2/1/2002 20:00,0.833333,731218.833333,1.833333,0.000000,0.000000,0.001705,0.000000 
2/1/2002 22:00,0.916667,731218.916667,1.916667,0.000000,0.000000,0.001705,0.000000 
3/1/2002  0:00,1.000000,731219.000000,2.000000,0.000000,0.000000,0.001705,0.000000 
3/1/2002  2:00,1.083333,731219.083333,2.083333,0.000000,0.000000,0.001705,0.000000 
3/1/2002  4:00,1.166667,731219.166667,2.166667,0.000000,0.000000,0.001705,0.000000 
3/1/2002  6:00,1.250000,731219.250000,2.250000,0.000000,0.000000,0.001705,0.000000 
3/1/2002  8:00,1.333333,731219.333333,2.333333,0.000000,0.000000,0.001705,0.000000 
3/1/2002 10:00,1.416667,731219.416667,2.416667,0.000000,0.000000,0.001705,0.000000 
3/1/2002 12:00,1.500000,731219.500000,2.500000,0.000000,0.000000,0.001705,0.000000 
3/1/2002 14:00,1.583333,731219.583333,2.583333,0.000000,0.000000,0.001705,0.000000 
3/1/2002 16:00,1.666667,731219.666667,2.666667,0.000000,0.000000,0.001705,0.000000 
3/1/2002 18:00,1.750000,731219.750000,2.750000,0.000000,0.000000,0.001705,0.000000 
3/1/2002 20:00,1.833333,731219.833333,2.833333,0.000000,0.000000,0.001705,0.000000 
3/1/2002 22:00,1.916667,731219.916667,2.916667,0.000000,0.000000,0.001705,0.000000 
4/1/2002  0:00,2.000000,731220.000000,3.000000,0.000000,0.000000,0.001705,0.000000 
4/1/2002  2:00,2.083333,731220.083333,3.083333,0.000000,0.000000,0.001705,0.000000 
4/1/2002  4:00,2.166667,731220.166667,3.166667,0.000000,0.000000,0.001705,0.000000 
4/1/2002  6:00,2.250000,731220.250000,3.250000,0.000000,0.000000,0.001705,0.000000 
4/1/2002  8:00,2.333333,731220.333333,3.333333,0.000000,0.000000,0.001705,0.000000 
4/1/2002 10:00,2.416667,731220.416667,3.416667,0.000000,0.000000,0.001705,0.000000 
4/1/2002 12:00,2.500000,731220.500000,3.500000,0.000000,0.000000,0.001705,0.000000 
4/1/2002 14:00,2.583333,731220.583333,3.583333,0.000000,0.000000,0.001705,0.000000 
4/1/2002 16:00,2.666667,731220.666667,3.666667,0.000000,0.000000,0.001705,0.000000 
4/1/2002 18:00,2.750000,731220.750000,3.750000,0.000000,0.000000,0.001705,0.000000 
4/1/2002 20:00,2.833333,731220.833333,3.833333,0.000000,0.000000,0.001705,0.000000 
4/1/2002 22:00,2.916667,731220.916667,3.916667,0.000000,0.000000,0.001705,0.000000 
5/1/2002  0:00,3.000000,731221.000000,4.000000,0.000000,0.000000,0.001705,0.000000 
5/1/2002  2:00,3.083333,731221.083333,4.083333,0.000000,0.000000,0.001705,0.000000 
5/1/2002  4:00,3.166667,731221.166667,4.166667,0.000000,0.000000,0.001705,0.000000 
5/1/2002  6:00,3.250000,731221.250000,4.250000,0.000000,0.000000,0.001705,0.000000 
5/1/2002  8:00,3.333333,731221.333333,4.333333,0.000000,0.000000,0.001705,0.000000 
