DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,4.700000,5.700000,5.800000,6.000000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,3.978213,5.680575,5.799598,5.999871 
27/12/2001  2:00,0.083333,731212.083333,360.083333,3.451370,5.652478,5.799087,5.999742 
27/12/2001  3:00,0.125000,731212.125000,360.125000,3.132385,5.619072,5.798417,5.999613 
27/12/2001  4:00,0.166667,731212.166667,360.166667,2.792550,5.581885,5.797565,5.999484 
27/12/2001  5:00,0.208333,731212.208333,360.208333,2.602242,5.541972,5.796513,5.999356 
27/12/2001  6:00,0.250000,731212.250000,360.250000,2.422778,5.500596,5.795252,5.999227 
27/12/2001  7:00,0.291667,731212.291667,360.291667,2.238692,5.457815,5.793778,5.999098 
27/12/2001  8:00,0.333333,731212.333333,360.333333,2.139032,5.414227,5.792086,5.998968 
27/12/2001  9:00,0.375000,731212.375000,360.375000,2.126947,5.371021,5.790178,5.998839 
27/12/2001 10:00,0.416667,731212.416667,360.416667,2.267686,5.329860,5.788062,5.998710 
27/12/2001 11:00,0.458333,731212.458333,360.458333,2.740074,5.294056,5.785762,5.998580 
27/12/2001 12:00,0.500000,731212.500000,360.500000,3.762933,5.269656,5.783322,5.998450 
27/12/2001 13:00,0.541667,731212.541667,360.541667,5.062798,5.262176,5.780819,5.998320 
27/12/2001 14:00,0.583333,731212.583333,360.583333,5.647485,5.268124,5.778333,5.998189 
27/12/2001 15:00,0.625000,731212.625000,360.625000,5.813172,5.279217,5.775913,5.998059 
27/12/2001 16:00,0.666667,731212.666667,360.666667,5.412064,5.288414,5.773565,5.997928 
27/12/2001 17:00,0.708333,731212.708333,360.708333,4.661999,5.289316,5.771266,5.997797 
27/12/2001 18:00,0.750000,731212.750000,360.750000,3.946593,5.279885,5.768966,5.997666 
27/12/2001 19:00,0.791667,731212.791667,360.791667,3.278526,5.260903,5.766616,5.997534 
27/12/2001 20:00,0.833333,731212.833333,360.833333,2.717904,5.233643,5.764172,5.997403 
27/12/2001 21:00,0.875000,731212.875000,360.875000,2.210006,5.199381,5.761599,5.997271 
27/12/2001 22:00,0.916667,731212.916667,360.916667,1.771355,5.159091,5.758868,5.997139 
27/12/2001 23:00,0.958333,731212.958333,360.958333,1.404471,5.113858,5.755956,5.997007 
28/12/2001  0:00,1.000000,731213.000000,361.000000,1.121345,5.064849,5.752849,5.996874 
28/12/2001  1:00,1.041667,731213.041667,361.041667,1.080779,5.014425,5.749543,5.996741 
28/12/2001  2:00,1.083333,731213.083333,361.083333,1.041172,4.964348,5.746045,5.996608 
28/12/2001  3:00,1.125000,731213.125000,361.125000,0.601108,4.911615,5.742365,5.996474 
28/12/2001  4:00,1.166667,731213.166667,361.166667,0.377308,4.854793,5.738504,5.996340 
28/12/2001  5:00,1.208333,731213.208333,361.208333,0.147685,4.795359,5.734473,5.996206 
28/12/2001  6:00,1.250000,731213.250000,361.250000,-0.000700,4.733898,5.730272,5.996071 
28/12/2001  7:00,1.291667,731213.291667,361.291667,-0.000735,4.672275,5.725888,5.995936 
28/12/2001  8:00,1.333333,731213.333333,361.333333,-0.000771,4.611858,5.721289,5.995801 
28/12/2001  9:00,1.375000,731213.375000,361.375000,-0.000799,4.552805,5.716464,5.995665 
28/12/2001 10:00,1.416667,731213.416667,361.416667,-0.000801,4.495276,5.711415,5.995528 
28/12/2001 11:00,1.458333,731213.458333,361.458333,-0.000758,4.439510,5.706143,5.995391 
28/12/2001 12:00,1.500000,731213.500000,361.500000,0.976537,4.393149,5.700672,5.995254 
28/12/2001 13:00,1.541667,731213.541667,361.541667,2.306691,4.366097,5.695062,5.995116 
28/12/2001 14:00,1.583333,731213.583333,361.583333,3.041097,4.355817,5.689395,5.994978 
28/12/2001 15:00,1.625000,731213.625000,361.625000,3.332758,4.353736,5.683724,5.994839 
28/12/2001 16:00,1.666667,731213.666667,361.666667,3.291383,4.353595,5.678072,5.994700 
28/12/2001 17:00,1.708333,731213.708333,361.708333,3.078737,4.351437,5.672438,5.994560 
28/12/2001 18:00,1.750000,731213.750000,361.750000,2.984381,4.346914,5.666814,5.994420 
28/12/2001 19:00,1.791667,731213.791667,361.791667,2.911717,4.341177,5.661190,5.994279 
28/12/2001 20:00,1.833333,731213.833333,361.833333,2.831614,4.334371,5.655563,5.994138 
28/12/2001 21:00,1.875000,731213.875000,361.875000,2.787111,4.326744,5.649927,5.993996 
28/12/2001 22:00,1.916667,731213.916667,361.916667,2.754199,4.318682,5.644281,5.993854 
28/12/2001 23:00,1.958333,731213.958333,361.958333,2.737756,4.310400,5.638622,5.993712 
29/12/2001  0:00,2.000000,731214.000000,362.000000,2.729543,4.302078,5.632951,5.993568 
