DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,0.000000,0.000000,0.000000,0.000000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,-18.291367,-6.756286,-30.290327,1339.466219 
27/12/2001  2:00,0.083333,731212.083333,360.083333,-24.381571,-5.078747,-43.163616,1732.625041 
27/12/2001  3:00,0.125000,731212.125000,360.125000,-28.609519,-3.364731,-47.138855,1851.059306 
27/12/2001  4:00,0.166667,731212.166667,360.166667,-32.765686,-2.041437,-47.565671,1887.291515 
27/12/2001  5:00,0.208333,731212.208333,360.208333,-37.439727,-1.011998,-46.780321,1899.010311 
27/12/2001  6:00,0.250000,731212.250000,360.250000,-41.891945,-0.386295,-45.522277,1903.494174 
27/12/2001  7:00,0.291667,731212.291667,360.291667,-46.419395,-0.272227,-44.000368,1905.929155 
27/12/2001  8:00,0.333333,731212.333333,360.333333,-50.240978,-0.676941,-42.396582,1907.789899 
27/12/2001  9:00,0.375000,731212.375000,360.375000,-53.927213,-1.327638,-40.910694,1909.391027 
27/12/2001 10:00,0.416667,731212.416667,360.416667,-57.011067,-2.175830,-39.494630,1910.863371 
27/12/2001 11:00,0.458333,731212.458333,360.458333,-59.744703,-3.069266,-38.153816,1912.243221 
27/12/2001 12:00,0.500000,731212.500000,360.500000,-62.191123,-4.078178,-36.823906,1913.584477 
27/12/2001 13:00,0.541667,731212.541667,360.541667,-64.490205,-5.151224,-35.523214,1914.891394 
27/12/2001 14:00,0.583333,731212.583333,360.583333,-66.624583,-6.337950,-34.219341,1916.195988 
27/12/2001 15:00,0.625000,731212.625000,360.625000,-68.593662,-7.658559,-32.900878,1917.513034 
27/12/2001 16:00,0.666667,731212.666667,360.666667,-70.391069,-9.140713,-31.558204,1918.850415 
27/12/2001 17:00,0.708333,731212.708333,360.708333,-72.047699,-10.817114,-30.182932,1920.212686 
27/12/2001 18:00,0.750000,731212.750000,360.750000,-73.568086,-12.725885,-28.765192,1921.611908 
27/12/2001 19:00,0.791667,731212.791667,360.791667,-74.971730,-14.919889,-27.294034,1923.059351 
27/12/2001 20:00,0.833333,731212.833333,360.833333,-76.271724,-17.472419,-25.756872,1924.567165 
27/12/2001 21:00,0.875000,731212.875000,360.875000,-77.491144,-20.488488,-24.138705,1926.149432 
27/12/2001 22:00,0.916667,731212.916667,360.916667,-78.648074,-24.121079,-22.420991,1927.823265 
27/12/2001 23:00,0.958333,731212.958333,360.958333,-79.764737,-28.601008,-20.579950,1929.610316 
28/12/2001  0:00,1.000000,731213.000000,361.000000,-80.547355,-34.290543,-18.583899,1931.539070 
28/12/2001  1:00,1.041667,731213.041667,361.041667,-81.610299,-41.785709,-16.388798,1933.648616 
28/12/2001  2:00,1.083333,731213.083333,361.083333,-82.605559,-52.156412,-13.930645,1935.995046 
28/12/2001  3:00,1.125000,731213.125000,361.125000,-83.728067,-67.407170,-11.110839,1938.663493 
28/12/2001  4:00,1.166667,731213.166667,361.166667,-84.953070,-91.584361,-7.764329,1941.793790 
28/12/2001  5:00,1.208333,731213.208333,361.208333,-86.309644,-123.190387,-4.379649,1945.092335 
28/12/2001  6:00,1.250000,731213.250000,361.250000,-87.741222,-156.545642,-0.982226,1948.451586 
28/12/2001  7:00,1.291667,731213.291667,361.291667,-89.059432,-176.258405,50.102717,1984.870524 
28/12/2001  8:00,1.333333,731213.333333,361.333333,-90.225395,-186.458643,75.547337,2013.473626 
28/12/2001  9:00,1.375000,731213.375000,361.375000,-91.268671,-191.291741,88.096187,2030.828508 
28/12/2001 10:00,1.416667,731213.416667,361.416667,-92.339601,-192.707773,96.377312,2041.916802 
28/12/2001 11:00,1.458333,731213.458333,361.458333,-93.691110,-191.639714,102.612090,2049.659145 
28/12/2001 12:00,1.500000,731213.500000,361.500000,-95.178776,-189.343256,107.701866,2055.568462 
28/12/2001 13:00,1.541667,731213.541667,361.541667,-96.697973,-186.543544,112.116414,2060.464467 
28/12/2001 14:00,1.583333,731213.583333,361.583333,-98.189848,-183.525738,116.151361,2064.782579 
28/12/2001 15:00,1.625000,731213.625000,361.625000,-99.634600,-180.455861,119.896404,2068.712842 
28/12/2001 16:00,1.666667,731213.666667,361.666667,-101.022478,-177.425130,123.404669,2072.353558 
28/12/2001 17:00,1.708333,731213.708333,361.708333,-102.361282,-174.475219,126.713261,2075.763581 
28/12/2001 18:00,1.750000,731213.750000,361.750000,-103.635642,-171.608439,129.860155,2078.989484 
28/12/2001 19:00,1.791667,731213.791667,361.791667,-104.866522,-168.827020,132.869633,2082.063046 
28/12/2001 20:00,1.833333,731213.833333,361.833333,-106.056749,-166.131636,135.758289,2085.005810 
28/12/2001 21:00,1.875000,731213.875000,361.875000,-107.209621,-163.518128,138.539458,2087.833789 
28/12/2001 22:00,1.916667,731213.916667,361.916667,-107.367998,-160.977076,141.226031,2090.560925 
28/12/2001 23:00,1.958333,731213.958333,361.958333,-106.557083,-158.469508,143.843723,2093.209463 
29/12/2001  0:00,2.000000,731214.000000,362.000000,-103.889161,-155.958185,146.422173,2095.806880 
