DATE[day/month/year hour:min],t[days],JDfrom0,JD,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind speed[m/s],Wind direction[deg],Relative Humidity[-],Pressure[kPa],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface Energy balance[W/m2],Soil heat flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water on canopy[mm],Snow on canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind speed top canopy[m/s],Decay of K in canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow melted[mm],snow evap[mm],snow subl[mm],glac melted[mm],glac evap[mm],glac subl[mm],thawed soil depth[mm],water table depth[mm]
27/12/2001  1:00,0.041667,731212.041667,360.041667,0.000000,0.000000,0.000000,0.000000,0.000000,1.758021,256.959736,0.899209,991.507839,1.517764,0.049168,3.986711,1.679966,2.738713,-116.453871,-116.453871,0.000000,0.000000,0.000000,268.300000,239.517576,113.740387,-4.000000,-21.622199,55.631440,35.200232,0.881100,2.687481,0.020000,0.133400,37.296547,0.000000,-38.627383,-54.552136,-21.371793,13.715793,8.992200,61.287751,38.736878,0.050861,0.000000,0.033297,0.000000,0.004358,0.005135,0.003873,0.004496,-10.079633,-2.987347,0.406103,1.862189,0.000000,325.090960,7.565558,16.369547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,646.042472
27/12/2001  2:00,0.083333,731212.083333,360.083333,0.000000,1.000000,0.000000,0.674375,0.000000,3.955547,246.933929,0.909201,991.507839,1.817764,0.497944,3.475471,2.587969,2.884105,-78.726085,-78.726085,0.000000,0.000000,0.000000,312.200000,241.281656,114.975172,-1.000000,-8.323234,40.675691,28.727160,0.881100,2.687481,0.020000,0.133400,21.108372,0.000000,-8.554374,-29.583725,-0.079021,15.688718,10.915600,44.047560,31.130743,0.041487,0.000000,0.405067,0.000000,0.004650,0.004953,0.004001,0.004595,-59.316236,-29.335417,0.816717,1.981210,0.000000,328.421606,14.609474,28.657535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,650.319884
27/12/2001  3:00,0.125000,731212.125000,360.125000,0.000000,0.800000,0.000000,0.539500,0.000000,3.340240,250.943451,0.929184,991.507839,2.017764,0.996504,3.159436,2.560548,2.759333,-52.856297,-52.856297,0.000000,0.000000,0.000000,304.700000,242.930264,116.558305,-1.400000,-8.252533,24.243337,18.960427,0.881100,2.687481,0.020000,0.133400,-0.673550,0.000000,-17.526534,-17.527788,0.674805,9.389119,6.786841,26.247840,20.603193,0.027374,0.000000,0.699679,0.000000,0.004641,0.004843,0.004148,0.004569,-62.422973,-30.173303,0.688159,1.981712,0.000000,328.017303,8.799604,19.554998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,651.345167
27/12/2001  4:00,0.166667,731212.166667,360.166667,0.000000,0.400000,0.000000,0.269750,0.000000,2.900213,216.933474,0.929183,991.507839,1.817764,0.798124,2.821693,2.024334,2.368807,-56.441603,-56.441603,0.000000,0.000000,0.000000,277.800000,241.975139,116.091958,-2.500000,-13.318714,24.448362,16.174527,0.881100,2.687481,0.020000,0.133400,-12.130907,0.000000,-39.370649,-23.648276,-3.591466,7.414395,5.529209,26.747012,17.611061,0.023345,0.000000,0.852097,0.000000,0.004467,0.004728,0.004089,0.004464,-58.988308,-19.809812,0.598963,1.972716,0.000000,325.515493,3.611869,13.010087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,650.854996
27/12/2001  5:00,0.208333,731212.208333,360.208333,0.000000,0.000000,0.000000,0.000000,0.000000,2.724932,259.968585,0.939175,991.507839,2.017764,1.144688,2.631744,2.055056,2.319220,-35.633996,-35.633996,0.000000,0.000000,0.000000,303.700000,243.276518,117.125733,-1.600000,-7.884396,15.499387,10.650214,0.881100,2.687481,0.020000,0.133400,0.730190,0.000000,-16.876156,-15.891907,-1.714439,4.252374,3.776489,17.017116,11.577790,0.015369,0.000000,0.854629,0.000000,0.004476,0.004665,0.004193,0.004474,-99.389329,-25.533116,0.551676,1.978545,0.000000,325.607147,1.497030,9.139622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,649.795327
27/12/2001  6:00,0.250000,731212.250000,360.250000,0.000000,0.000000,0.000000,0.000000,0.000000,2.549130,252.948638,0.919194,991.507839,2.117764,0.945969,2.452489,1.831968,2.158304,-34.462276,-34.462276,0.000000,0.000000,0.000000,293.900000,243.060059,116.227067,-2.000000,-9.575566,13.123653,9.763057,0.881100,2.687481,0.020000,0.133400,-5.031346,0.000000,-24.916683,-17.589415,-2.295922,2.174512,3.492947,14.601186,10.609177,0.014086,0.000000,0.857740,0.000000,0.004405,0.004605,0.004133,0.004411,-379.549420,-22.207161,0.501376,1.975504,0.000000,324.545386,-2.374379,7.740120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,648.454972
27/12/2001  7:00,0.291667,731212.291667,360.291667,0.000000,0.000000,0.000000,0.000000,0.000000,1.581731,209.954079,0.919193,991.507839,1.917765,0.747829,2.269340,1.336700,1.798539,-36.271231,-36.271231,0.000000,0.000000,0.000000,280.100000,242.105225,115.763004,-3.100000,-12.943203,12.782512,7.445516,0.881100,2.687481,0.020000,0.133400,-11.452995,0.000000,-34.314122,-17.818479,-5.042649,1.603925,2.417996,14.291007,8.123956,0.010740,0.000000,0.864638,0.000000,0.004251,0.004546,0.004074,0.004298,133.834702,-4.722617,0.289668,1.903224,0.000000,322.410469,-2.917348,3.002439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,646.904557
27/12/2001  8:00,0.333333,731212.333333,360.333333,0.000000,0.200000,0.000000,0.134875,0.000000,1.054812,235.914838,0.929183,991.507839,1.817764,0.798124,2.172394,1.242641,1.629923,-23.840668,-23.840668,0.000000,0.000000,0.000000,299.400000,241.975139,116.091958,-2.500000,-9.533924,7.892397,3.914347,0.881100,2.687481,0.020000,0.133400,-2.751194,0.000000,-16.249200,-10.263066,-3.234940,1.214146,1.617088,8.793594,4.224351,0.005646,0.000000,0.943139,0.000000,0.004223,0.004514,0.004089,0.004270,20.325945,-1.154031,0.150501,1.744056,0.000000,322.063514,-1.150389,1.064042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,645.286703
27/12/2001  9:00,0.375000,731212.375000,360.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526790,31.000000,0.929182,991.507839,1.717765,0.698933,2.158790,0.585836,0.600823,-11.063101,-11.063101,0.000000,0.000000,0.000000,293.500000,241.499116,115.859451,2.800000,-12.902146,0.785074,0.175881,0.881100,2.687481,0.020000,0.133400,-16.360226,0.000000,-16.564385,-0.154737,-0.049422,1.000413,1.126905,0.756015,0.047545,0.000254,0.000000,0.943267,0.000000,0.004027,0.004510,0.004060,0.004029,0.083670,-0.010656,0.022690,1.042475,0.000000,319.498588,0.648735,0.132336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,643.794943
27/12/2001 10:00,0.416667,731212.416667,360.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.879010,255.956879,0.939172,991.507839,1.617764,0.747451,2.304362,0.741403,1.140967,14.110968,14.110968,33.719157,1.650115,32.069041,283.200000,241.365724,116.188442,37.000000,-14.764938,5.800731,2.323363,0.881100,2.687481,0.020000,0.133400,3.078896,22.522635,-27.572063,-6.008804,-2.119520,2.131155,1.630683,6.295923,2.416836,0.003352,0.000000,0.946352,0.000000,0.004073,0.004557,0.004074,0.004130,2.336521,-0.120624,0.063663,1.376257,6.332892,320.162688,0.506375,0.455854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,642.375645
