DATE[day/month/year hour:min],t[days],JDfrom0,JD,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind speed[m/s],Wind direction[deg],Relative Humidity[-],Pressure[kPa],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface Energy balance[W/m2],Soil heat flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water on canopy[mm],Snow on canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind speed top canopy[m/s],Decay of K in canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow melted[mm],snow evap[mm],snow subl[mm],glac melted[mm],glac evap[mm],glac subl[mm],thawed soil depth[mm],water table depth[mm]
27/12/2001  1:00,0.041667,731212.041667,360.041667,0.000000,0.000000,0.000000,0.000000,0.000000,1.789412,256.977110,0.899742,991.293148,1.505800,0.045486,3.982388,1.686693,2.737834,-117.019045,-117.019045,0.000000,0.000000,0.000000,268.300000,239.479837,113.763022,-4.000000,-21.577095,56.005281,35.436669,0.881100,2.687481,0.020000,0.133400,37.447452,0.000000,-38.685319,-54.729990,-21.402780,13.910154,9.089137,61.685812,38.992139,0.051202,0.000000,0.033370,0.000000,0.004361,0.005134,0.003873,0.004498,-10.342201,-3.100381,0.412487,1.865915,0.000000,325.113456,7.782693,16.578682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,646.290050
27/12/2001  2:00,0.083333,731212.083333,360.083333,0.000000,1.000000,0.000000,0.674375,0.000000,4.026178,246.962440,0.909739,991.293148,1.805800,0.494263,3.459991,2.587426,2.874079,-81.577276,-81.577276,0.000000,0.000000,0.000000,312.200000,241.243668,114.998756,-1.000000,-8.253576,40.738058,31.585642,0.881100,2.687481,0.020000,0.133400,21.005243,0.000000,-8.568329,-29.595295,0.021722,15.865912,11.013843,44.094432,34.361705,0.045615,0.000000,0.404920,0.000000,0.004651,0.004948,0.004001,0.004558,-61.061765,-30.480537,0.830258,1.981888,0.000000,328.406722,14.661647,31.604781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,650.812403
27/12/2001  3:00,0.125000,731212.125000,360.125000,0.000000,0.800000,0.000000,0.539500,0.000000,3.399884,250.967853,0.929734,991.293148,2.005800,0.992823,3.143029,2.552296,2.746635,-52.959791,-52.959791,0.000000,0.000000,0.000000,304.700000,242.892071,116.583647,-1.400000,-8.207728,24.297779,19.054284,0.881100,2.687481,0.020000,0.133400,-0.763210,0.000000,-17.521268,-17.470248,0.712189,9.476389,6.833222,26.297852,20.703457,0.027509,0.000000,0.699527,0.000000,0.004639,0.004838,0.004148,0.004566,-64.730775,-31.493042,0.699378,1.982448,0.000000,327.971529,8.904745,19.681794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,652.103746
27/12/2001  4:00,0.166667,731212.166667,360.166667,0.000000,0.400000,0.000000,0.269750,0.000000,2.952234,216.962181,0.929733,991.293148,1.805800,0.794443,2.804609,2.015769,2.356122,-56.505168,-56.505168,0.000000,0.000000,0.000000,277.800000,241.937095,116.117194,-2.500000,-13.272054,24.506378,16.226736,0.881100,2.687481,0.020000,0.133400,-12.143903,0.000000,-39.366845,-23.664523,-3.558420,7.472565,5.561480,26.805008,17.665960,0.023420,0.000000,0.851890,0.000000,0.004465,0.004723,0.004089,0.004462,-61.088554,-20.683555,0.608783,1.973803,0.000000,325.468187,3.655570,13.091413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,651.870854
27/12/2001  5:00,0.208333,731212.208333,360.208333,0.000000,0.000000,0.000000,0.000000,0.000000,2.773589,259.982141,0.939731,991.293148,2.005800,1.141006,2.614757,2.045267,2.306200,-35.619029,-35.619029,0.000000,0.000000,0.000000,303.700000,243.238298,117.151926,-1.600000,-7.842919,15.504340,10.671771,0.881100,2.687481,0.020000,0.133400,0.701246,0.000000,-16.864367,-15.877542,-1.688071,4.273339,3.790409,17.019908,11.600377,0.015399,0.000000,0.854382,0.000000,0.004474,0.004660,0.004193,0.004471,-103.106023,-26.744623,0.560859,1.979473,0.000000,325.555171,1.514639,9.184412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,651.059493
27/12/2001  6:00,0.250000,731212.250000,360.250000,0.000000,0.000000,0.000000,0.000000,0.000000,2.594648,252.970802,0.919737,991.293148,2.105800,0.942288,2.435619,1.822521,2.145846,-34.446216,-34.446216,0.000000,0.000000,0.000000,293.900000,243.021821,116.251625,-2.000000,-9.533420,13.113882,9.798914,0.881100,2.687481,0.020000,0.133400,-5.025515,0.000000,-24.907489,-17.611426,-2.270548,2.171433,3.507110,14.590512,10.647962,0.014137,0.000000,0.857454,0.000000,0.004403,0.004601,0.004133,0.004408,-393.214257,-23.325854,0.510107,1.976619,0.000000,324.494955,-2.403543,7.798335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,649.941125
27/12/2001  7:00,0.291667,731212.291667,360.291667,0.000000,0.000000,0.000000,0.000000,0.000000,1.610194,209.973895,0.919736,991.293148,1.905800,0.744148,2.252152,1.330065,1.788902,-36.320792,-36.320792,0.000000,0.000000,0.000000,280.100000,242.067135,115.787459,-3.100000,-12.889170,12.827131,7.504491,0.881100,2.687481,0.020000,0.133400,-11.367221,0.000000,-34.328851,-17.916206,-5.045424,1.599396,2.423998,14.342259,8.190079,0.010825,0.000000,0.864356,0.000000,0.004250,0.004541,0.004074,0.004296,144.547655,-5.012472,0.296092,1.907775,0.000000,322.370864,-2.958836,3.058968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,648.441272
27/12/2001  8:00,0.333333,731212.333333,360.333333,0.000000,0.200000,0.000000,0.134875,0.000000,1.073647,235.951587,0.929733,991.293148,1.805800,0.794443,2.153291,1.239944,1.627955,-24.126883,-24.126883,0.000000,0.000000,0.000000,299.400000,241.937095,116.117194,-2.500000,-9.456665,8.106137,4.064081,0.881100,2.687481,0.020000,0.133400,-2.422870,0.000000,-16.298934,-10.591499,-3.284565,1.202505,1.612636,9.037749,4.394892,0.005862,0.000000,0.942881,0.000000,0.004223,0.004509,0.004089,0.004269,24.387940,-1.340773,0.159652,1.765509,0.000000,322.037582,-1.226031,1.170051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,646.508843
27/12/2001  9:00,0.375000,731212.375000,360.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.536474,31.000000,0.929733,991.293148,1.705800,0.695252,2.140351,0.587234,0.606254,-10.972990,-10.972990,0.000000,0.000000,0.000000,293.500000,241.461146,115.884634,2.800000,-12.812836,0.773894,0.186260,0.881100,2.687481,0.020000,0.133400,-16.394276,0.000000,-16.657171,-0.199783,-0.063112,0.993293,1.115660,0.744287,0.060842,0.000269,0.000000,0.943043,0.000000,0.004028,0.004505,0.004060,0.004031,0.098728,-0.012130,0.023596,1.058741,0.000000,319.488961,0.597865,0.130652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,645.224078
27/12/2001 10:00,0.416667,731212.416667,360.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.894706,255.975486,0.939730,991.293148,1.605800,0.743770,2.284314,0.756959,1.171874,13.711978,13.711978,33.863005,1.792568,32.070437,283.200000,241.327800,116.214414,37.000000,-14.616117,6.187111,2.484795,0.881100,2.687481,0.020000,0.133400,3.517383,22.625186,-27.782738,-6.413183,-2.261751,2.126423,1.617272,6.735081,2.601863,0.003584,0.000000,0.946290,0.000000,0.004078,0.004551,0.004074,0.004137,2.755920,-0.141724,0.067857,1.402644,6.362957,320.206065,0.536456,0.491966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,644.038030
27/12/2001 11:00,0.458333,731212.458333,360.458333,0.000000,0.000000,0.000000,0.000000,0.000000,1.431530,249.966437,0.929734,991.293148,2.305800,1.290392,2.755076,2.351284,2.513207,61.662426,61.662426,125.091570,42.668455,82.423114,278.800000,244.332260,117.286668,83.700000,-11.620612,6.048753,4.368209,0.881100,2.687481,0.020000,0.133400,36.609841,85.135516,-44.995564,1.031541,2.498571,1.735476,1.932729,6.630809,4.696865,0.006304,0.000327,0.944478,0.000000,0.004573,0.004707,0.004238,0.004540,320.911332,72.199844,0.270947,2.009961,24.365584,326.740345,6.957644,6.569699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,642.928613
27/12/2001 12:00,0.500000,731212.500000,360.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.878883,268.998178,0.859758,991.293148,3.805800,1.683821,3.776835,3.868340,3.824887,144.385172,144.385172,193.775375,95.571761,98.203614,257.500000,249.041704,116.793176,161.100000,-14.281078,-1.115349,3.549099,0.881100,2.687481,0.020000,0.133400,33.745777,133.271323,-76.168371,14.525188,8.831987,-0.115024,2.941762,-1.250337,3.631056,0.005127,0.002144,0.934698,0.000000,0.005093,0.005061,0.004360,0.004923,26.538879,4.501803,0.284372,2.153891,37.468561,333.449015,11.682793,11.330961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,641.841159
27/12/2001 13:00,0.541667,731212.541667,360.541667,0.000000,0.000000,0.000000,0.000000,0.000000,1.968274,318.046757,0.789781,991.293148,4.805800,1.481135,5.077689,5.335746,5.169066,185.452222,185.452222,220.296111,118.747771,101.548340,264.300000,251.144781,115.129853,204.200000,-13.579484,-2.302346,7.470641,0.881100,2.687481,0.020000,0.133400,31.904186,151.867976,-78.479408,24.093741,17.390642,1.134927,5.468181,-2.766189,7.740863,0.010806,0.005390,0.915450,0.000000,0.005646,0.005545,0.004297,0.005292,46.994539,4.630025,0.327945,2.149955,42.291337,340.437645,18.926646,22.793533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,640.783480
27/12/2001 14:00,0.583333,731212.583333,360.583333,0.000000,0.000000,0.000000,0.000000,0.000000,1.699942,282.021234,0.769786,991.293148,4.705800,1.028076,5.663574,5.483281,5.453636,82.633823,82.633823,182.333551,75.004450,107.329101,242.700000,249.825470,113.801676,126.400000,-19.487986,7.287988,16.990203,0.881100,2.687481,0.020000,0.133400,3.241968,124.755403,-94.341905,10.156487,17.015043,4.390497,7.744660,7.678990,18.237844,0.024588,0.004899,0.895781,0.000000,0.005704,0.005776,0.004159,0.005279,-42.411531,35.416115,0.356609,2.020254,34.926183,341.419863,16.236867,31.982156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,639.730466
27/12/2001 15:00,0.625000,731212.625000,360.625000,0.000000,0.000000,0.000000,0.000000,0.000000,1.789071,332.023017,0.759789,991.293148,4.905800,1.041076,5.830632,5.116037,5.403742,23.895139,23.895139,126.097748,39.302793,86.794955,239.900000,250.377357,113.693652,81.600000,-22.179249,14.920826,20.604786,0.881100,2.687481,0.020000,0.133400,-8.061887,85.701295,-91.100706,-7.802024,10.464500,4.566443,8.621692,16.318099,22.221846,0.029824,0.002404,0.882902,0.000000,0.005560,0.005844,0.004163,0.005261,-59.452110,-13.548464,0.369360,1.961169,24.360449,340.066629,8.046464,29.825056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,638.672730
