Data,WindS,WindDir,RelHum,AirT,AirP,SWglobal,LWin
1,7.75,325.24,80.56,7.35,988.16,0.49,328.27
1.04,8.06,324.28,77.33,7.53,989.22,-1.22,326.51
1.08,6.76,325.38,78.28,7.21,990.22,-0.78,326.81
1.13,6.16,319.43,80.62,6.73,991.52,-0.71,329.18
1.17,7.05,319.73,73.98,6.98,992.48,0.39,304.6
1.21,6.37,328.76,75.88,6.62,993.35,-0.62,317.68
1.25,7.55,331.96,73.58,6.8,993.83,0.49,281.84
1.29,6.66,336.9,75.4,6.52,994.31,-0.5,262.84
1.33,6.82,334.98,72.64,6.99,995.21,-2.08,272.5
1.38,5.86,338.43,73.28,7.22,996.39,-0.14,289.9
1.42,5.54,339.17,75,7.37,997.43,21.15,311.72
1.46,4.52,346.69,73.25,7.74,998.46,66.22,301.34
1.5,5.8,346.09,75.06,7.91,999.05,79.17,307.89
1.54,6.53,343.11,71.09,8.47,999.3,86.78,266.38
1.58,5.56,342.67,78.54,8.06,999.81,32.86,328.92
1.63,5.08,333.89,71.1,8.88,1000.2,60.37,323.8
1.67,5.09,316.7,72.19,8.83,1000.9,39,306.44
1.71,3.09,297.84,79.97,8.35,1001.8,-3.42,325.98
1.75,1.78,292.43,77.02,8.38,1002.5,-7.47,313.68
1.79,3.57,312.27,76.8,8.82,1003.4,-6.44,333.06
1.83,1.16,307.88,79.63,8.51,1003.9,-8.82,334.59
1.88,2.58,336.6,88.49,8.29,1004.2,-5.54,352.5
1.92,3.23,331.18,89.72,8.32,1004.4,-6.98,359.57
1.96,0.98,286.17,92.43,8.03,1004.5,-9.39,363.75
2,0.21,308.43,91.77,8.01,1004.9,-8.43,360.44
2.04,2.56,280.64,88.17,7.97,1004.9,-7.24,333.55
2.08,3.15,245.83,91.12,7.99,1004.9,-6.33,332.45
2.13,4.09,242.57,91.83,7.81,1005.1,-6.58,346.99
2.17,3.87,227.31,92.22,7.69,1005.1,-7.76,320.83
2.21,3.2,231.65,91.52,7.84,1004.9,-6.49,336.17
2.25,2.26,273.87,92.55,8.11,1004.9,-6.26,350.27
2.29,2.95,269.62,93.41,8.13,1005.1,-5.67,351.43
2.33,1.02,265.79,93.76,8.14,1005.2,-8.36,359.84
2.38,2.79,242.08,93.98,8.44,1005.3,-1.82,341.17
2.42,2.96,249.71,93.48,8.91,1005.4,15.7,349.62
2.46,3.1,228.5,94.56,8.48,1005.8,46.3,353.53
2.5,5.02,216.91,94,9.36,1005.2,89.25,341.2
2.54,4.71,209.78,92.95,9.77,1004.7,89.65,332.18
2.58,7.46,227.12,93.92,10.3,1003.9,127.7,335.86
2.63,6.54,231.13,95.09,10.06,1003.5,69.92,346.78
2.67,5.88,221.29,95.68,10.12,1004,23.99,353.88
2.71,3.55,207.83,96.12,10.57,1004.5,-1.41,362.21
2.75,5.39,226.41,95.65,10.9,1004.2,-1.34,360.68
2.79,5.85,224.25,95.33,10.94,1003.8,-1.33,360.69
2.83,6.85,221.71,96.1,10.86,1003.5,-1.42,360.12
2.88,7.5,229.84,96.02,10.9,1003.6,-1.41,361.04
2.92,7.52,225.15,95.19,10.9,1003.7,-1.44,359.88
2.96,5.99,228.99,95.96,10.78,1004,-1.4,361.15
3,5.6,221.39,95.87,10.85,1004.1,-1.68,360.47
3.04,3.89,229.53,95.8,11.03,1004.3,-1.9,362.59
3.08,4.13,248.73,95.62,11.25,1004.8,-2.28,360.16
3.13,0.31,247.37,94.66,10.96,1005.3,-6.84,331.01
3.17,0.85,213,92.7,9.82,1006.1,-6.11,349.46
3.21,3.34,357.16,87.2,10.03,1006.7,-4.85,331.54
3.25,2.39,5.47,84.76,9.6,1007.3,-7.18,316.87
3.29,0.31,311.46,87.38,9.48,1007.9,-11.46,321.09
3.33,0.34,331.43,85.68,8.27,1008.4,-15.2,245.23
3.38,1.09,317.44,89.95,6.22,1009.1,-9.79,244.53
3.42,0.79,314.97,89.37,5.4,1009.8,41.76,241.31
3.46,0.13,340.9,90.93,7.9,1010.6,136.4,242.27
3.5,0.16,332.8,81.58,10.53,1010.9,183.36,246.1
3.54,0.45,309.26,74.94,11.06,1010.9,213.88,248.27
3.58,0.82,357,69.97,11.54,1010.8,243,290.57
3.63,1.1,53.24,72.2,10.68,1011,164.6,253.06
3.67,1.19,9.34,80,9.37,1011.2,46.86,259.04
3.71,1.64,39.19,84.65,8.08,1011.5,-6.96,258.83
3.75,1.7,343.83,89.78,6.24,1011.9,-10.15,285.16
3.79,0.95,304.98,88.39,6.63,1011.6,-13.38,259.23
3.83,1.36,336.22,89.23,5.71,1011.5,-11.9,277.87
3.88,0.42,117.69,87.59,7.6,1011.7,-10.82,343.63
3.92,1.71,304.25,85.28,8.48,1011.7,-9.66,344.38
3.96,1.34,3.27,84.87,8.75,1011.6,-9.62,344.43
4,1.83,233.79,85.67,9.19,1011.5,-9.19,346.74
4.04,3.43,236.25,84.7,9.27,1011.3,-6.02,347.83
4.08,2.57,232.54,86.74,9.49,1011,-6.87,348.44
4.13,1.34,235.46,88.71,9.48,1011,-8.95,346.11
4.17,1.62,204.86,89.22,9.58,1010.7,-9.12,334.4
4.21,0.8,116.95,89.31,9.81,1010.3,-10.54,344.77
4.25,2.06,114.32,89.61,10.34,1009.9,-7.89,349.96
4.29,2.21,177.11,89.45,10.08,1009.8,-8.03,351.11
4.33,1.51,181.12,91.96,9.92,1009.8,-8.74,347.99
4.38,0.7,180.95,90.57,9.99,1009.7,-7.32,348
4.42,1.26,171.52,91.5,9.54,1009.8,21.46,344.91
4.46,1.13,143.1,89.46,10.14,1009.6,51.45,346.69
4.5,3.21,162.01,88.14,10.2,1009,79.85,348.26
4.54,3.59,162.47,91.56,9.22,1008.2,66.99,342.35
4.58,2.36,162.19,90.18,9.59,1007.5,99.15,347.38
4.63,2.85,169.81,89.1,9.52,1007.1,40.16,346.99
4.67,3.07,174.92,91.2,8.9,1006.9,4.82,344.84
4.71,3.15,154.37,92.54,8.39,1006.2,-5.04,335.41
4.75,5.63,153.34,90.65,8.25,1005.8,-4.49,329.26
4.79,3.87,140.07,90.35,8.14,1005.8,-5.91,340.14
4.83,2.5,137.25,91.77,7.91,1005.2,-5.7,342.1
4.88,4.27,150.44,91.23,7.95,1004.8,-6,341.1
4.92,3.53,138.91,91.84,7.84,1004.1,-4.49,341.16
4.96,3.6,141.42,90.95,7.97,1003.1,-3.51,345.91
5,5.24,146.45,90.46,8.01,1002.4,-2.65,346.21
5.04,5.24,143.55,91.44,7.52,1001.7,-2.48,344.69
5.08,7.45,143.13,91.81,7.39,1000.7,-2.36,344.18
5.13,7.71,141.65,91.57,7.18,1000,-2.95,344.47
5.17,7.71,147.39,91.53,6.72,999.12,-2.72,340.88
5.21,2.66,152.75,92.16,6.96,998.09,-3.3,344.3
5.25,7.86,136.81,91.27,7.03,997.53,-2.26,340.36
5.29,8.43,156.55,89.85,6.86,996.27,-1,322.15
5.33,6.24,143.19,89.58,6.64,996.27,-2.31,333.92
5.38,6.47,158.43,89.26,6.48,995.63,0.14,332.01
5.42,7.41,150.1,87.4,6.73,995.16,7.03,333.85
5.46,7.4,151.77,88.04,6.47,994.72,9.92,336.54
5.5,6.59,145.19,86.46,6.59,993.77,20.48,334.99
5.54,7.58,146.04,86.1,6.66,992.41,30.77,332.14
5.58,6.41,150.27,84.68,7.1,991.85,18.06,334.56
5.63,3.66,152.53,85.67,7.19,991.62,10.28,340.2
5.67,4.31,150.57,86.5,7.03,991.39,6.09,337.78
5.71,3.02,143.34,87.21,6.74,991.55,-3.23,338.52
5.75,2.41,139.87,87.49,6.43,992.03,-3.6,337.09
5.79,0.82,131.84,90.54,5.87,993.38,-6.52,346.16
5.83,1.54,129.35,93.38,5.02,994.15,-6.92,342.4
5.88,3.52,128.61,90.91,4.35,994.21,-3.81,328.26
5.92,2.42,115.1,90.17,4.16,994.24,-7.8,304.95
5.96,0.5,87.2,89.52,4.25,994.59,-11.49,339.06
6,1.13,78.73,91.09,4.05,994.86,-11.18,340.26
6.04,1.61,130.11,91.85,4.23,995.18,-9.58,342.08
6.08,3.44,151.83,87.47,4.98,995.54,-5.06,328.6
6.13,3.55,153.68,89.54,4.84,995.9,-3.84,328.38
6.17,4.96,110.64,89.75,4.86,996.52,-2.55,321.22
6.21,2.96,101.83,90.11,4.96,997.65,-4.61,325.12
6.25,3.75,67.7,90.4,4.72,998.8,-5.11,319.94
6.29,1.65,81.82,89.72,4.47,1000.2,-8.44,334.67
6.33,0.08,21.24,88.82,4.24,1001.1,-10.59,347.43
6.38,0.77,54,88.2,4.36,1002.1,-8.99,346.39
6.42,0.91,34.15,90.88,4.34,1003.2,5.32,316.85
6.46,0.36,17.91,91.92,4.75,1004.1,24.19,314.29
6.5,0.36,23.56,90.89,5.08,1004,49.8,317.83
6.54,0.68,92.83,90.73,5.35,1004,37.27,317.59
6.58,0.39,101.97,90.6,5.58,1003.9,39.63,319.45
6.63,0.16,107.37,90.06,5.63,1004.4,4.08,317.59
6.67,0.29,112.86,90.45,5.65,1004.8,4.59,313.97
6.71,0.34,75.99,91.64,5.42,1005.1,-14.52,298.57
6.75,0.5,70.07,92.54,4.64,1005.5,-13.21,316.03
6.79,0.15,37.13,92.38,4.7,1005.9,-13.38,312.05
6.83,0.4,40.35,92.88,4.29,1006,-15.37,280.25
6.88,0.71,111.53,92.11,3.61,1006,-13.82,270.12
6.92,0.7,154.59,90.59,3.88,1005.9,-13.6,250.95
6.96,0.46,274.42,88.73,3.8,1006,-12.92,254.25
7,1.24,340.73,88.97,3.25,1005.8,-11.8,256.59
7.04,0.47,25.71,89.35,3.54,1005.7,-10.87,286.71
7.08,0.27,22.51,89.4,3.63,1005.4,-11.79,307.29
7.13,0.55,241.9,89.07,3.83,1005.3,-12.78,305.29
7.17,0.7,95.04,89.08,3.79,1005.1,-11.79,309.81
7.21,0.15,328.89,87.17,4.14,1004.7,-12.24,308.6
7.25,0.34,311.39,85.98,3.97,1004.3,-12.26,289.32
7.29,0.19,249.66,85.25,3.92,1004,-12.3,279.86
7.33,3.14,27.22,83.52,4.33,1003.6,-7.32,259.93
7.38,2.9,102.1,82.52,4.29,1003.6,-1.5,251.73
7.42,2.59,120.35,82.27,4.38,1003.4,45.98,271.14
7.46,3.79,111.59,79.56,5.2,1003.3,93,274.79
7.5,4.75,100.64,77.99,5.39,1002.8,131.25,282.99
7.54,4.86,118.77,78.63,5.41,1002.3,61.22,313.01
7.58,4.43,134.77,78.08,5.69,1001.5,62.42,313.07
7.63,4.13,153.8,80.4,5.72,1001,80.02,309.93
7.67,4.16,116.28,81.69,5.45,1000.7,29.86,294.3
7.71,3.94,99.41,80.85,5.2,1000.4,-1.69,287.76
7.75,4.49,114.24,80.17,5.09,1000.4,-5.63,266.74
7.79,3.44,71.5,79.28,4.98,1000.4,-7.28,234.61
7.83,2.91,49.97,78.04,4.93,1000.6,-7.01,275.93
7.88,3.07,53.52,73.78,5.12,1000.6,-6.64,281.99
7.92,2.71,55.85,73.69,4.76,1000.5,-7.78,266.03
7.96,2.35,116.27,75.09,4.32,1000.9,-7.71,280.6
8,2.23,36.29,74.3,4.37,1001,-8.18,296.56
8.04,2,39.95,71.17,4.57,1000.8,-8.87,260.07
8.08,1.87,38.01,75.24,4.37,1001,-9.22,273.9
8.13,1.09,36.22,79.33,3.79,1001.2,-10.39,273.47
8.17,0.4,45.36,78.62,4.1,1001.2,-10.37,272.59
8.21,2.95,58.71,73.7,5.18,1001.4,-7.26,260.77
8.25,3.43,46.49,73.23,5.37,1001.6,-6.8,255.65
8.29,0.56,52.51,80.15,3.53,1002.3,-13.71,249.77
8.33,0.79,118.89,84.28,1.84,1003.2,-13.85,219.76
8.38,1.53,48.94,87.68,1.2,1004.2,-2.17,229.74
8.42,0.8,47.69,88.48,1.81,1005,32.61,232.35
8.46,0.92,86.87,87.89,2.35,1005.4,49.7,223.71
8.5,0.41,92.41,81.66,5.38,1005.6,232.82,230.29
8.54,0.93,80.47,67,7.45,1005.9,210.89,250.18
8.58,2.37,106.25,66.12,7.82,1005.8,214.43,226.67
8.63,3.04,110.84,71.05,7.4,1005.5,156.64,227.91
8.67,2.91,105.95,77.83,6.2,1005.8,44.28,226.98
8.71,0.14,26.9,81.35,5.05,1006.7,-6.96,234.01
8.75,1.75,43.25,83.54,4.59,1006.9,-10.72,227.37
8.79,0.9,17.76,85.22,3.36,1007.5,-12.33,224.01
8.83,0.7,29.22,87.55,3.15,1007.9,-13.33,223.9
8.88,0.44,79.28,88.31,3.22,1007.9,-13.43,222.21
8.92,1.04,62.8,87.89,3.49,1008.2,-13.12,222.37
8.96,2.81,118.36,81.56,4.87,1008.1,-8.48,223.18
9,2.76,125.11,82.15,4.35,1007.6,-8.61,224.33
9.04,3.14,233.28,82.23,4.4,1007.1,-8.05,224.42
9.08,3.25,215.79,79.12,4.92,1007.2,-8.09,233.35
9.13,4.74,261.74,76.52,5.73,1006.9,-6.59,231.18
9.17,3.38,201.2,79.63,5.47,1006.2,-7.08,249.95
9.21,5.35,191.1,78.98,6.11,1005.7,-5.41,273.96
9.25,4.54,227.03,80.74,6.21,1005.1,-5.03,304.57
9.29,5.61,240.79,80.87,6.64,1004.6,-4.51,307.58
9.33,6.79,232.79,85.36,6.5,1003.5,-3.88,324.35
9.38,8.97,238.16,89.41,6.62,1002.9,1.82,326.84
9.42,9.6,218.19,90.26,7.07,1002.7,18.8,336.11
9.46,10.38,210.84,89.5,7.77,1002,70.99,331.33
9.5,10.14,198.87,89.5,8.39,1000.7,94.3,334.77
9.54,8.11,199.77,92.06,8.96,999.99,22.18,348.57
9.58,8.41,203.27,86.23,10.19,999.37,28.24,348.56
9.63,7.59,205.31,86.7,10.36,998.4,22.35,347.22
9.67,6.15,206.2,89.94,9.89,998.19,7.53,350.75
9.71,6.79,203.2,89.45,9.41,997.98,0.6,346.14
9.75,5.41,207.19,92.55,9.58,997.85,-1.82,351.85
9.79,6,207.64,89.15,9.94,997.28,-1.7,351.46
9.83,4.6,211.79,92.7,9.66,997.33,-2.05,353.55
9.88,5.28,217.66,93.68,9.87,996.73,-2.07,353.72
9.92,6.02,208.13,94.46,10.08,995.73,-1.47,353.55
9.96,6.39,217.02,94.57,10.24,995.56,-1.45,357
10,4.93,221.21,95.48,10.35,995.73,-1.96,360.33
10.04,5.31,226.13,93.52,11,994.93,-1.67,360.52
10.08,3.95,221.83,93.46,11.06,994.3,-2.38,363.47
10.13,3.47,216.92,94.73,10.87,993.59,-2.4,362.73
10.17,4.56,213.19,94.22,11.24,992.84,-1.76,363.48
10.21,6.04,215.12,94.2,11.59,991.95,-1.25,363.92
10.25,7.3,218.46,95.61,11.41,991.55,-1.35,364.02
10.29,8.98,224.4,95.68,11.6,991.03,-0.9,363.56
10.33,9.79,219.94,96.5,11.46,990.91,-0.93,363.67
10.38,10.02,220.44,95.57,11.45,991.48,-0.46,362.48
10.42,9.52,222.04,95.76,11.41,991.4,7.79,361.42
10.46,11.4,226.05,89.95,12.01,991.05,35.11,357.21
10.5,11.33,225.49,86.74,12.34,990.21,46.78,355.89
10.54,14.3,223.12,90.29,11.85,989.05,56.54,359.2
10.58,13.96,222.91,88.89,11.73,987.87,61.23,356.9
10.63,14.36,223.26,86.75,11.76,987.57,28,357.11
10.67,11.63,225.67,85.58,11.73,987.08,17.66,356.97
10.71,11.93,229.4,86.98,11.69,986.81,0.66,358.81
10.75,11.98,226.33,89.51,11.51,986.4,-0.36,359.01
10.79,12.02,224.87,90.77,11.34,986.37,-0.76,359.15
10.83,5.44,226.03,92.12,8.85,987.71,-2.03,351.28
10.88,5.81,227.65,91.21,8.66,987.88,-1.77,338.44
10.92,7.09,261.23,91.41,9.48,987.65,-1.96,345.02
10.96,6.41,235.35,87.78,9.35,988.2,-3.18,342.31
11,9.4,240.74,83.28,8.69,989.41,-2.15,315.3
11.04,8.33,255.8,81.45,8.03,990.7,-1.85,322.82
11.08,6.56,278.4,75.15,7.37,992.21,-4.04,258.84
11.13,7.29,283.55,76.5,6.66,993.58,-3.08,271.16
11.17,7.53,279.12,72.78,6.29,994.69,-5.15,227.09
11.21,7.48,258.23,68.74,6.44,996.01,-4.75,249.77
11.25,6.4,260.13,72.14,6.4,997.14,-4.57,229.15
11.29,5.13,224.54,73.63,6.18,998.54,-2.8,258.59
11.33,4.53,266,71.22,6.02,999.82,-3.08,234.2
11.38,2.92,281.9,79.73,5.18,1001.3,-3.31,270.61
11.42,4.23,253.86,80.03,5.43,1002.2,39.72,278.49
11.46,1.22,202.25,81.96,5.6,1003.2,73.94,232.38
11.5,1.77,244.09,76.04,6.95,1003.7,142.74,235.27
11.54,4.14,242.64,73.01,8.39,1003.4,253.19,260.21
11.58,4.36,241.36,69.88,8.55,1003.5,224.44,244.73
11.63,5.32,240.28,73.43,8.29,1003.3,129.15,239.98
11.67,5.12,221.87,74.82,8.03,1002.9,70.07,238.89
11.71,5.7,201.6,72.31,7.84,1003.4,-0.02,280.24
11.75,7.03,196.98,69.05,7.86,1003.5,-5.01,264.88
11.79,6.49,218.32,67.61,8.02,1003.5,-4.24,318.02
11.83,6.42,203.89,65.09,8.13,1003.2,-4.61,304.7
11.88,7.09,200.89,65.87,8.11,1002.6,-4.43,299.04
11.92,8.2,200.87,65.75,8.25,1001.8,-3.78,317.03
11.96,9.73,193.56,66.11,8.28,1001,-3.35,322.09
12,8.89,197.55,68.36,8.42,1000.8,-3.48,325.39
12.04,8.53,203.79,70.52,8.47,1000.1,-3.74,328.88
12.08,7.27,199.95,71.85,8.74,999.1,-3.86,325.47
12.13,7.41,185.93,82.84,8.4,997.81,-2.14,341.58
12.17,9.9,187.08,89.69,8.99,996.18,-0.96,348.1
12.21,10.17,179.82,91.59,10.02,994.78,-0.95,354.92
12.25,10.08,190.11,88.74,11.18,993.57,-0.99,358.46
12.29,10.63,197.51,88.41,11.41,993.2,-0.56,358.72
12.33,10.76,201.82,88.18,11.1,992.88,-1.87,354.92
12.38,11.43,198.18,88.52,10.89,992.65,0.16,356.71
12.42,11.14,201.51,88.31,10.79,992.23,11.3,356.11
12.46,10.75,200.99,85.02,10.82,992.09,21.66,352.4
12.5,11.95,197.24,89.39,10.7,991.55,12.72,356.23
12.54,10.88,201.16,86.8,11.32,991.09,24.89,357.97
12.58,10.96,209.13,84.94,11.45,990.8,17.99,356.77
12.63,7.77,202.7,88.08,10.82,991.33,14.54,352.47
12.67,6.05,203.06,89.78,9.04,991.71,19.48,339.2
12.71,4.52,200.54,89.69,8.87,991.41,-1.02,346.7
12.75,3.46,199.2,87.47,9.44,991.19,-2.36,343.64
12.79,5.24,195.49,91.06,9.77,990.68,-1.95,348.95
12.83,7.98,197.44,90.69,10.45,990.17,-1.3,354.13
12.88,10.29,194.57,90.14,10.79,989.39,-1.38,356.71
12.92,9.76,198.86,91.35,10.74,988.64,-1.07,356.23
12.96,10.67,197.52,89.38,10.71,988.33,-1.32,354.65
13,9.62,196.33,88.69,10.78,987.52,-1.12,355.1
13.04,10.98,196.3,88.34,10.24,987.15,-1.02,349.87
13.08,11.58,192.39,89.18,10.67,986.12,-0.31,354.04
13.13,9.77,183.28,88.86,10.81,985.21,-1.32,356.94
13.17,7.82,187.14,84.94,10.83,984.87,-0.34,346.33
13.21,7.44,195.32,77.73,10.7,984.97,-3.6,320.39
13.25,7.58,210.51,79.83,10.58,984.57,-3.83,335.05
13.29,8.01,208.87,83.28,10.5,984.16,-1.65,341.35
13.33,9.7,199.66,82.93,10.6,983.58,-1.02,346.06
13.38,8.02,195.56,82.13,10,983.96,0.09,341.46
13.42,7.54,202.08,82.06,10.24,984.16,13.8,343.57
13.46,7.55,202.74,79.77,10.16,984.53,44.48,338.33
13.5,7.64,198.22,76.45,10.16,984.68,61.73,330.43
13.54,7.1,219.8,81.93,9.39,984.68,77.82,336.99
13.58,7.12,202.67,79.95,8.89,985.18,90.78,312.27
13.63,8.01,217.31,81.24,8.44,985.9,59.49,314.08
13.67,5,215.07,82.93,7.83,986.88,28.37,303.92
13.71,4.14,229.27,84.43,7.38,987.68,2.74,299.46
13.75,5.51,231.39,84.73,6.98,988.51,-5.1,294.32
13.79,4.3,238.98,89.58,6.41,989.47,-4.59,324.88
13.83,1.06,249.88,85.25,5.48,990.85,-6.34,320.82
13.88,1.24,239.21,84.42,4.88,992.14,-8.74,318.2
13.92,0.27,294.06,88.84,4.23,993.03,-11.88,293
13.96,3.39,279.96,90.7,4.24,994.13,-8.38,250.05
14,2.77,282.98,89.08,3.88,994.8,-9.39,219.09
14.04,2.15,287.35,89.4,3.41,995.19,-10.55,217.61
14.08,1.7,276.24,92.45,2.02,995.82,-10.43,230.11
14.13,1,278.99,92.61,1.78,996.52,-11.86,217.58
14.17,0.95,271.15,93.07,1.07,996.59,-12.21,235.65
14.21,1.18,253.77,93.16,1.03,996.44,-11.9,212.46
14.25,0.83,216.3,92.63,1.12,996.49,-12.05,216.61
14.29,3.1,127.33,86.03,3.6,996.41,-7.61,228.38
14.33,3.96,50.76,84.26,3.76,996.19,-6.91,219.35
14.38,3.96,81.37,83.02,4.02,996.27,-2.21,235.54
14.42,4.74,143.42,80.56,5.19,995.78,29.52,260.29
14.46,5.65,179.01,78.42,6.26,995.02,64.73,303.58
14.5,8.58,176.39,75.66,7.18,994.02,132.3,282.85
14.54,8.43,188.95,74.77,7.58,992.72,212.7,287.98
14.58,7.96,189.75,77.83,7.73,991.62,154.16,320.82
14.63,8.52,193,82.79,7.28,990.55,59.72,330.93
14.67,10.89,189.82,77.46,7.82,989.4,33.83,320.57
14.71,10.15,194.66,79.66,7.74,988.54,6.32,316.29
14.75,10.79,186.86,82.2,7.69,987.73,-0.35,316.14
14.79,10.71,189.35,78.99,8.31,986.75,-1.05,327.93
14.83,11.03,180.12,78.55,8.63,985.52,-1.32,333.62
14.88,11.27,181.76,83.15,8.31,984.69,-0.91,339.95
14.92,11.66,174.05,85.67,8.5,983.74,-0.9,342.61
14.96,11.13,181.48,87.75,8.67,982.9,-0.87,345.38
15,11.21,177,88.44,9.03,981.85,-0.83,346.23
15.04,10.76,177.33,88.68,9.16,980.99,-0.86,347.28
15.08,11.18,180.72,88.4,9.37,980.16,-0.82,347.77
15.13,10.68,178.99,88.44,9.53,979.38,-1.1,348.65
15.17,8.93,174.89,89.02,8.27,979.34,-1.52,343.61
15.21,7.05,179.21,83.32,8.81,978.53,-0.14,320.16
15.25,7.4,172.95,85.77,8.66,978.4,-1.82,323.5
15.29,7.97,192.08,83.73,9.36,977.91,-2.6,322.12
15.33,9.14,183.69,80.8,9.76,977.95,-3.46,320.15
15.38,8.73,176.98,81.28,9.73,978.02,-0.16,329.7
15.42,7.52,186.8,83.9,9.59,978.4,12.53,303.38
15.46,7.96,189.74,86.01,9.72,978.61,53.18,330.65
15.5,5.47,182.91,87.22,9.69,979.15,101.07,344.22
15.54,5.33,183.06,85.9,9.72,979.18,107.34,340.5
15.58,4.57,190.72,88.79,9.33,979.21,23.46,351.14
15.63,4.19,206.49,89.48,9.51,979.53,142.76,303.08
15.67,2.66,195.32,91.41,9.25,980.38,63.04,356.8
15.71,2.04,194.97,90.76,8.81,981.32,-0.33,346.64
15.75,0.63,192.05,92.79,8.33,982.56,-8.08,362.99
15.79,3.79,209.99,91.32,8.26,984.2,-3.4,349.88
15.83,6.91,238.96,90.41,7.17,986.25,-1.33,337.07
15.88,6.06,289.52,85.62,6.9,987.5,-1.1,331.17
15.92,4.47,335.04,87.15,6.66,988.6,-2.93,337.39
15.96,4.96,332.31,84.32,6.53,989.3,-2.33,327.95
16,7.32,324.66,84.36,6.14,990.03,-1.21,316.65
16.04,1.79,309.38,83.91,5.79,990.56,-3.17,322.83
16.08,5.06,319.28,79.36,5.71,990.79,-1.79,311.15
16.13,3.29,312.98,69.77,5.84,991.2,-5.54,250.41
16.17,2.62,294.88,70.01,5.86,991.23,-7.5,284.33
16.21,3.22,238.22,78.67,5.22,990.68,-7.2,286.6
16.25,2.54,249.21,80.83,5.09,990.1,-8.63,293.41
16.29,3.54,248.16,84.09,5.14,989.35,-6.91,296.71
16.33,4.37,242.03,88.49,5.43,988.48,-4.38,327.42
16.38,6.14,227.53,91.99,5.99,987.8,-0.2,330.84
16.42,6.38,223.3,92.3,6.57,987.02,18.08,336.27
16.46,4.23,233.21,94.6,7.15,986.43,36.46,344
16.5,5.63,225.69,86.07,9.09,986.26,51.16,337.31
16.54,6.22,242.73,77.42,9.7,986.49,58.18,333.16
16.58,5.08,285.79,75.14,9.58,986.33,43.05,330.98
16.63,6.46,282.08,75.9,9.37,986.23,53.45,326.13
16.67,5.66,285.48,75.7,9.2,986.38,30.04,322.09
16.71,4.75,284.98,77.78,8.88,986.5,-2.05,332.74
16.75,4.97,274.36,84.35,8.55,986.03,-4.93,332.68
16.79,4.5,267.6,89.93,8.41,985.31,-3.71,344.88
16.83,3.68,226.45,93.47,8.58,984.62,-2.91,350.59
16.88,3.73,226.61,94.1,9.01,983.84,-2.97,355.56
16.92,3.73,207.75,94.92,9.39,982.62,-2.49,356.46
16.96,3.73,217.61,93.44,10.61,981.86,-2.68,358.45
17,4.67,261.19,90.01,11.05,981.85,-2.16,355.6
17.04,8.3,281.54,90.01,10.85,982.18,-2.11,356.2
17.08,7.91,272.66,88.96,10.69,982.45,-0.85,331.54
17.13,8.71,291.22,90.39,10.19,983.91,-1.33,344.01
17.17,6.86,305.35,88.62,10.12,984.76,-2.55,334.18
17.21,5.18,321.41,90.1,9.88,986.38,-1.92,351.99
17.25,4.94,336.01,86.43,9.09,988.3,-1,334.39
17.29,4.41,338.19,83.62,8.93,989.52,-4.81,305.71
17.33,3.94,329.71,78.58,8.75,991.32,-5.95,300.46
17.38,4.35,316.23,80.65,8.63,992.24,-1.87,325.53
17.42,5.32,288.65,81.01,9,993.15,6.7,333.04
17.46,4.52,284.69,82.04,9.07,993.68,12.26,334.74
17.5,5.53,298.05,76.98,9.68,994.45,36.63,321.81
17.54,5.77,300.82,83.96,9.81,994.47,85.53,319.18
17.58,5.69,297.44,84.1,10.85,994.01,95.93,339.36
17.63,7.66,284.71,84.55,11.89,993.78,86.2,338.3
17.67,8.03,281.95,86.44,11.77,994.38,31.59,356.89
17.71,7.09,291.95,88.98,11.22,995.07,8.99,354.09
17.75,8.22,300.39,89.09,11.2,995.71,-0.87,357.9
17.79,7.56,305.08,89.14,11.12,996.02,-0.72,356.88
17.83,7.49,301.63,89.42,10.86,996.8,-0.77,355.92
17.88,7.3,299.27,90.12,10.62,997.46,-1.07,354.84
17.92,7.47,290.2,88.97,10.78,997.91,-1.39,354.93
17.96,6.62,297.7,86.02,10.85,998.64,-2.44,351.98
18,5.1,292.81,85.72,11.1,998.68,-2.5,353.9
18.04,6.38,281.77,82.62,11.46,998.67,-3.33,349.82
18.08,4.53,290.99,83.94,11.33,999.14,-4.87,350.78
18.13,4.7,310.42,81.12,11.33,999.38,-5.25,349.07
18.17,5.23,315.16,82.11,11.14,999.91,-4.97,350.32
18.21,4.08,307.43,83.93,10.81,1000.5,-3.44,352.25
18.25,3.98,305.61,83.35,10.87,1000.6,-5.87,348.84
18.29,4.48,302.92,86.55,10.81,1000.6,-5.62,344.96
18.33,3.64,267.37,84.88,10.9,1000.8,-3.01,339.9
18.38,3.06,281.38,85.91,11.03,1001.1,-3.77,348.96
18.42,4.94,280.36,90.9,11.19,1001.4,17.78,355.39
18.46,7.02,272.62,91.81,11.58,1000.9,139.98,325.76
18.5,7.91,273.62,94.2,11.32,1000.5,99.68,319.18
18.54,7.4,274.62,95.19,10.92,1000.4,137.62,325.16
18.58,8.92,275.62,95.23,10.9,1000.1,108.74,345.35
18.63,7.74,276.62,95.07,10.67,999.7,94.84,350.9
18.67,6.97,277.62,93.94,10.91,999.9,60.51,355.19
